,ytest,DTR,MLR,ANN,SVR,winner
1929,22.899999618530273,22.176470588235293,26.75,26.176246643066406,26.611275477667903,DTR
1930,23.0,24.64545440673828,26.43359375,25.678733825683594,26.064416968353946,DTR
1931,38.099998474121094,37.8545448996804,35.36328125,35.59503173828125,37.20705879468693,DTR
1932,26.799999237060547,27.09538458310641,28.96484375,27.86543846130371,28.951453875988424,DTR
1933,22.299999237060547,24.473683909366006,27.84375,26.724355697631836,27.91493791996298,DTR
1934,25.399999618530273,25.433333079020183,25.91796875,25.504972457885742,25.300061312457075,DTR
1935,33.5,32.2000001560558,32.3125,33.82137680053711,31.370366900241727,ANN
1936,22.200000762939453,23.49687498807907,28.4453125,27.302509307861328,28.27824266280653,DTR
1937,31.200000762939453,31.193333180745444,29.48046875,29.559188842773438,29.594088114844638,DTR
1938,40.20000076293945,40.29166634877523,39.515625,38.361961364746094,40.45038974344568,DTR
1939,30.200000762939453,30.5777776506212,26.65625,25.681392669677734,28.93771937926266,DTR
1940,35.29999923706055,33.453846075595955,34.8828125,34.24571228027344,34.697306515049505,MLR
1941,21.799999237060547,26.752380961463565,30.0,29.45842742919922,30.465416093121156,DTR
1942,32.599998474121094,34.47158472655249,34.0703125,34.65236282348633,34.14772526621654,MLR
1943,28.5,26.58965511979728,27.33984375,26.241857528686523,26.261031606398017,MLR
1944,36.599998474121094,36.79268283378787,34.4140625,35.08405303955078,36.550263063467305,SVR
1945,32.400001525878906,33.106666310628256,35.66796875,32.70695114135742,33.90452616039969,ANN
1946,29.200000762939453,30.043750166893005,25.7578125,26.054014205932617,25.29115193296731,DTR
1947,22.5,23.15000014834934,25.73046875,25.362253189086914,24.809523483073033,DTR
1948,24.200000762939453,22.121052591424238,27.9921875,27.671005249023438,28.98773586980822,DTR
1949,39.29999923706055,39.22499942779541,34.9921875,36.221656799316406,37.04571578440746,DTR
1950,37.400001525878906,35.737500031789146,33.16015625,33.88311767578125,34.039113368723626,DTR
1951,21.0,22.275757760712594,28.1640625,27.363906860351562,28.214808507974993,DTR
1952,33.900001525878906,33.453846075595955,35.72265625,33.865230560302734,33.91138993204947,SVR
1953,28.700000762939453,29.54107161930629,25.625,25.16204833984375,25.594980315615963,DTR
1954,27.100000381469727,26.483333269755047,26.75,26.388973236083984,25.026285741838702,MLR
1955,24.600000381469727,28.992308103121243,30.55078125,30.90337371826172,30.99340286311626,DTR
1956,24.5,22.275757760712594,27.9375,27.30227279663086,27.74920346949763,DTR
1957,35.599998474121094,34.27063495393784,32.5390625,34.02863693237305,32.98482096942786,DTR
1958,21.799999237060547,22.337499618530273,24.3125,23.487972259521484,23.066889107919657,DTR
1959,36.20000076293945,34.46333306630452,31.7109375,32.307830810546875,32.38848374230269,DTR
1960,21.200000762939453,22.216666751437717,26.1015625,26.320755004882812,26.276988575170616,DTR
1961,32.5,32.61052623548006,36.125,34.07101821899414,34.72741312324726,DTR
1962,36.400001525878906,36.52500057220459,33.640625,33.764793395996094,35.16329174261868,DTR
1963,33.0,35.072221755981445,34.453125,35.081993103027344,34.07570658841876,SVR
1964,29.5,32.2666662534078,27.21484375,26.610153198242188,26.94915823709992,MLR
1965,36.5,37.1636361208829,35.77734375,35.54850769042969,36.65586877745729,SVR
1966,37.70000076293945,37.87894720780222,36.9921875,35.80754852294922,38.43841994730499,DTR
1967,35.900001525878906,34.47158472655249,33.44921875,33.449485778808594,34.16097944770237,DTR
1968,22.200000762939453,24.43846159714919,24.74609375,24.503074645996094,24.007737143291493,SVR
1969,39.29999923706055,38.23333316379123,34.7734375,34.61686325073242,36.41271169083202,DTR
1970,32.900001525878906,32.42941205641802,32.08984375,31.89896011352539,32.47823939890041,SVR
1971,21.100000381469727,24.696000086466473,26.96484375,25.75022315979004,26.907778141232463,DTR
1972,29.799999237060547,29.84999990463257,33.1171875,33.95302963256836,33.09508174132338,DTR
1973,30.299999237060547,24.922221925523544,29.984375,29.595630645751953,29.793278319754666,MLR
1974,35.400001525878906,34.27063495393784,32.2578125,32.94937515258789,33.717414167098596,DTR
1975,21.899999618530273,22.121052591424238,30.5078125,29.70515251159668,31.6648021947965,DTR
1976,35.20000076293945,35.249999618530275,32.52734375,32.721675872802734,32.15839571613051,DTR
1977,35.400001525878906,35.26666704813639,36.07421875,35.07895278930664,35.425901772125926,SVR
1978,26.600000381469727,23.49687498807907,28.7890625,27.236425399780273,28.66176736199708,ANN
1979,29.200000762939453,28.91249990463257,29.27734375,29.080169677734375,29.887104597870074,MLR
1980,34.5,34.69999984215046,35.57421875,34.75267028808594,34.99865186338637,DTR
1981,31.200000762939453,31.193333180745444,29.66015625,29.641977310180664,29.869077415748578,DTR
1982,40.79999923706055,33.08823506972369,37.703125,36.07566833496094,37.01732181109054,MLR
1983,28.0,25.500000050193385,24.78515625,24.613082885742188,24.362891433335925,DTR
1984,26.5,28.519999821980793,30.09375,30.255340576171875,29.98590121675265,DTR
1985,33.20000076293945,33.453846075595955,34.890625,34.43125915527344,34.079116217954706,DTR
1986,24.600000381469727,25.73888895246718,29.95703125,29.432296752929688,30.079047215807854,DTR
1987,29.899999618530273,26.465189885489547,26.15234375,25.536483764648438,25.178209271974563,DTR
1988,35.400001525878906,33.385365555926064,35.96875,35.03091049194336,35.38332102704924,SVR
1989,25.100000381469727,26.465189885489547,25.0546875,24.165481567382812,25.108006333390495,SVR
